
CodigoFIP;NomeEntidade;CNPJ
01007;SABEMI SEGURADORA S.A.;87163234000138
01121;YOUSE SEGURADORA S.A.;24856160000103
01414;Berkley International do Brasil Seguros S/A;07021544000189
01431;XL Seguros Brasil S.A.;14448493000131
01490;Essor Seguros S.A;14525684000150
01554;EQUATORIAL SEGURADORA S/A - MICROSSEGUROS;21242451000105
01571;HDI GLOBAL SEGUROS S.A. ;18096627000153
01589;SANTANDER AUTO S.A.;30617319000121
01619;DAYPREV VIDA E PREVIDÊNCIA S.A.;08872199000150
01627;SAFRA SEGUROS GERAIS S.A.;06109373000181
01741;BMG SEGUROS S.A.;19486258000178
01937;COMPREV VIDA E PREVIDÊNCIA S.A.;33634999000180
01970;UNIMED SEGUROS PATRIMONIAIS S.A.;12973906000171
02020;ATRADIUS CRÉDITO Y CAUCIÓN SEGURADORA S.A.;08587950000176
02062;LUIZASEG SEGUROS S.A.;07746953000142
02101;MONGERAL AEGON SEGUROS E PREVIDÊNCIA S. A.;33608308000173
02119;ARUANA SEGURADORA S. A.;07017295000158
02143;ASSURANT SEGURADORA S.A.;03823704000152
02275;ALM SEGURADORA S.A - MICROSSEGURADORA;23694731000180
02305;BTG PACTUAL SEGUROS S.A.;32724962000180
02461;AUSTRAL SEGURADORA S.A.;11521976000126
02542;OMINT SEGUROS S.A.;20646890000110
02682;BTG Pactual Vida e Previdência S.A.;19449767000120
02739;AGÊNCIA BRASILEIRA GESTORA DE FUNDOS GARANTIDORES E GARANTIAS S.A. – ABGF;17909518000145
02771;SUDASEG SEGURADORA DE DANOS E PESSOAS S.A. - MICROSSEGURADORA;32191644000109
02798;ARGO SEGUROS BRASIL S.A.;14868712000131
02801;UNIÃO SEGURADORA S.A. - VIDA E PREVIDÊNCIA (ATUAL DENOMINAÇÃO DE UNIÃO DE PREVIDÊNCIA S.A.);95611141000157
02852;AXA SEGUROS S.A.;19323190000106
02879;COMPREV SEGURADORA S.A.;14333631000137
02895;ALFA PREVIDÊNCIA E VIDA S.A.;02713530000102
02933;CARDIF DO BRASIL SEGUROS E GARANTIAS S.A.;08279191000184
02950;SANCOR SEGUROS DO BRASIL S.A.;17643407000130
02968;GAZIN SEGUROS S.A.;28414401000107
03069;POTTENCIAL SEGURADORA S.A.;11699534000174
03140;PREVIMIL VIDA E PREVIDÊNCIA S.A.;95619003000114
03182;ITAU SEGUROS DE AUTO E RESIDÊNCIA S.A.;08816067000100
03271;SEGURADORA LÍDER DOS CONSÓRCIOS DO SEGURO DPVAT S.A.;09248608000104
03298;MAPFRE PREVIDÊNCIA S.A.;04046576000140
03328;Coface do Brasil Seguros de Crédito S/A ;07644868000173
03387;ANGELUS SEGUROS S.A.;18133809000157
03417;MG SEGUROS, VIDA E PREVIDÊNCIA S.A.;26136748000100
03654;SICOOB SEGURADORA DE VIDA E PREVIDÊNCIA S.A.;26314512000116
03671;USEBENS SEGUROS S.A.;09180505000150
03727;TRAVELERS SEGUROS BRASIL S.A. ;09064453000156
03794;PREVIMAX PREVIDÊNCIA PRIVADA E SEGURADORA S.A.;07163211000194
04031;XP VIDA E PREVIDÊNCIA S.A.;29408732000105
04111;JNS SEGURADORA S.A.;30862594000100
04251;CAPEMISA SEGURADORA DE VIDA E PREVIDÊNCIA S/A;08602745000132
04359;EULER HERMES SEGUROS S.A.;04573811000132
04367;PRUDENTIAL DO BRASIL VIDA EM GRUPO S.A.;21986074000119
04634;PATER SEGUROS S.A.;06068410000150
04669;FAIRFAX BRASIL SEGUROS CORPORATIVOS S.A.;10793428000192
